,Unnamed: 0.1,Title,Genre,Summary,Year,Rating,Metascore,Votes,Runtime,Actors
10,10,fargo,crime drama thriller,variou chronicl of decept intrigu and murder in and around frozen minnesota yet all of these tale mysteri lead back one way or anoth to fargo north dakotavari chronicl of decept intrigu and murder in and around frozen minnesota yet all of these tale mysteri lead back one way or anoth to fargo north dakota the all new true crime case of fargo new chapter travel back to in sioux fall south dakota and luvern minnesota where a young state polic offic lou solverson recent back from vietnam investig a case involv a local crime gang and a major mob syndic help him piec thing togeth is hi fatherinlaw sheriff hank larsson the investig will lead them to a color cast of charact that includ karl weather the town lawyer of luvern minnesota a korean war vet karl is a floweri drunk bless with the gift of gab and the eloqu of a true con artist joe bulo the front man for the northern expans of a kansa citi crime syndic the new face of corpor crime joe bring a walmart mental to small town america hi number two is mike milligan part enforc part detect mike is alway smile but the joke is usual on you bulo and hi crew have their sight set on the gerhardt crime famili in fargo current led by matriarch floyd gerhardt with her husband at death door floyd take over the famili busi frustrat her eldest son dodd gerhardt an impati hothead with a cruel streak to match hi ambit dodd cant wait for both hi parent to die so he can take over and expand their busi from kingdom to empir bear gerhardt is the middl son an intimidatingli larg man who although inarticul is the most decent of hi clan rye gerhardt the youngest of the gerhardt clan view himself as a big shot but in realiti he just a small dog who bark big,2014,9.0,,267840.0,53,"Billy Bob Thornton, Martin Freeman, Allison Tolman, Colin Hanks"
11,11,true detective,crime drama mysteri,season antholog seri in which polic investig unearth the person and profession secret of those involv both within and outsid the lawseason antholog seri in which polic investig unearth the person and profession secret of those involv both within and outsid the law in louisiana state polic detect rust cohl and martin hart are brought in to revisit a homicid case they work in as the inquiri unfold in present day through separ interrog the two former detect narrat the stori of their investig reopen unheal wound and draw into question their suppos solv of a bizarr ritualist murder in the timelin braid and converg in as each man is pull back into a world they believ theyd left behind in learn about each other and their killer it becom clear that dark live on both side of the law a strang murder in southern california discov by california highway patrol offic paul woodrugh taylor kitsch lead to a conspiraci that ensnar mobster frank semyon vinc vaughn mobaffili citi of vinci detect ray velcoro colin farrel and ventura counti sheriff detect ani bezzerid rachel mcadam season a suspens ritual perform in the middl of nowher prompt two detect to investig and while they do they unearth dark secret about both the killer and them season a group of three polic offic were brought togeth to investig the death of high profil person and came to know the conspiraci behind it with it own set of surpris,2014,9.0,,434637.0,55,"Vince Vaughn, Colin Farrell, Rachel McAdams, Taylor Kitsch"
12,12,firefly,adventur drama scifi,five hundr year in the futur a renegad crew aboard a small spacecraft tri to surviv as they travel the unknown part of the galaxi and evad war faction as well as author agent out to get themfiv hundr year in the futur a renegad crew aboard a small spacecraft tri to surviv as they travel the unknown part of the galaxi and evad war faction as well as author agent out to get them captain malcolm mal reynold is a former galact war veteran who is the captain of the transport ship seren mal and hi crew ensign zoe alleyn washburn zoe husband pilot hoban wash washburn muscular mercenari jayn cobb young mechan kayle frye former allianc medic offic simon tam hi disturb teenag sister river both on the run from the interplanetari govern the allianc the beauti courtesan inara serra and preacher shepherd book do ani job legal or illeg they can find as the seren crew travel across the outskirt of outer space mal reynold wa a sergeant in the war fight for the independ side when the independ lost to the allianc mal bought a transport ship name seren now with hi crew zoe hi first mate and fellow armi veteran zoe husband hoban wash washbourn the pilot a tough guy name jayn a beauti campanion inara a young mechan kayle a preacher call shepard book a doctor name simon and hi psychic sister river who are on the run from the law they all must do legal and illeg job to make a live while tri to stay under the allianc radar they do what they have to do to surviv but are constantli get into troubl set in the distant futur malcolm mal reynold play by nathan fillion is the captain of the ship seren a firefli class transport hi crew are an odd assort of charact all expert in their field there hi secondincommand zoe gina torr the pilot and zoe husband wash washburn alan tudyk the muscl jayn cobb adam baldwin and the engin kayle jewel stait also onboard is a profession companion inara morena baccarin she give the ship credibl and help it get land right mal and zoe fought in the galact civil war on the side of the independ the war wa won by the allianc who now rule the entir galaxi mal is still bitter about thi and it sometim influenc hi judgement reynold and hi crew make their live through ani mean possibl some of these mean are legal carri passeng and cargo and some are not smuggl scaveng and steal on a trip to one planet they pick up three passeng a priest shepherd book ron glass a doctor simon sean maher and hi sister river summer glau river seem to have mental issu moreov her and simon are want by feder author in the fardist futur captain malcolm mal reynold is a renegad former browncoat sergeant now turn smuggler rogu who is the command of a small spacecraft with a loyal handpick crew made up of the first mate zoe warren the pilot hoban wash washburn the gungho grunt jayn cobb the engin kayle frye the fugit dr simon tam and hi psychic sister river togeth they travel the far reach of space in search of food money and anyth to live on,"2002, 2003",9.0,,223902.0,44,"Nathan Fillion, Gina Torres, Alan Tudyk, Morena Baccarin"
13,13,the twilight zone,fantasi horror mysteri,ordinari peopl find themselv in extraordinarili astound situat which they each tri to solv in a remark manneran updat version of the classic tv seri featur variou tale of scienc fiction horror and mysteri,2019,6.5,,3193.0,60,"Jordan Peele, Shalyn Ferdinand, Ian Hawes, Khamisa Wilsher"
14,14,cobra kai,action comedi drama,decad after their all valley karat tournament bout a middleag daniel larusso and johnni lawrenc find themselv martialart rival againdecad after their all valley karat tournament bout a middleag daniel larusso and johnni lawrenc find themselv martialart rival again thirti year after their final confront at the all valley karat tournament johnni lawrenc is at rockbottom as an unemploy handyman haunt by hi wast life howev when johnni rescu a bulli kid miguel from bulli he is inspir to restart the notori cobra kai dojo howev thi revit of hi life and relat misunderstand find johnni restart hi old rivalri with daniel larousso a success businessman who may be happili marri but is miss an essenti balanc in life sinc the death of hi mentor mr miyagi meanwhil even as thi antipathi fester it find itself reflect in their protege as miguel and hi comrad are gradual poison by cobra kai thuggish philosophi meanwhil while daniel daughter samantha find herself in the middl of thi conflict amidst fals friend johnni estrang miscreant son robbi find himself inadvert come under daniel wing and flourish in way worthi of mr miyagi,2018,8.9,,28444.0,30,"Ralph Macchio, William Zabka, Courtney Henggeler, Xolo Maridueña"
15,15,sacred games,action crime drama,a link in their past lead an honest cop to a fugit gang boss whose cryptic warn spur the offic on a quest to save mumbai from cataclysman account of the struggl for surviv face by miklo hammer from hi conscript in into a hungarian jewish forc labour camp through hi time in a ghetto to hi eventu transport to birkenau provid insight into the horror of the camp,,,,,,
16,16,stranger things,drama fantasi horror,when a young boy disappear hi mother a polic chief and hi friend must confront terrifi forc in order to get him backwhen a young boy disappear hi mother a polic chief and hi friend must confront terrifi forc in order to get him back in a small town where everyon know everyon a peculiar incid start a chain of event that lead to the disappear of a child which begin to tear at the fabric of an otherwis peac commun dark govern agenc and seemingli malevol supernatur forc converg on the town while a few local begin to understand that there more go on than meet the eye when will byer suddenli goe miss the whole town of hawkin indiana turn upsid down mani peopl are on the search for will includ hi mother joyc hi brother jonathan hi friendsmik dustin and luca the polic chief jim hopper and other notabl peopl but one thing lead to anoth creat a supernatur trail and thing get even weirder when a littl girl with a shave head come into the stori after the mysteri and sudden vanish of a young boy the peopl of a small town begin to uncov secret of a govern lab portal to anoth world and sinist monster the boy mother joyc desper tri to find him and is convinc he is in grave danger while the polic chief search for answer tri to help find him the boy friend discov a strang littl girl who is on the run from bad men when joyc yearold son will goe miss she launch a terrifi investig into hi disappear with local author as they search for answer they unravel a seri of extraordinari mysteri involv secret govern experi unnerv supernatur forc and a veri unusu littl girl hawkin indiana a young boy will byer goe miss near a topsecret govern laboratori on the same night a strang young girl appear at a diner in the town she ha telekinet power and is on the run from the laboratori the laboratori is research supernatur phenomena and may have unwittingli unlock a gateway to anoth dimens a love letter to the s classic that captiv a gener stranger thing is set in indiana where a young boy vanish into thin air as friend famili and local polic search for answer they are drawn into an extraordinari mysteri involv topsecret govern experi terrifi supernatur forc and one veri strang littl girl,2016,8.9,,576281.0,51,"Millie Bobby Brown, Finn Wolfhard, Winona Ryder, David Harbour"
17,17,gravity falls,anim adventur comedi,twin sibl dipper and mabel pine spend the summer at their uncl tourist trap in the enigmat town of graviti fallstwin sibl dipper and mabel pine spend the summer at their uncl tourist trap in the enigmat town of graviti fall when dipper and mabel pine get sent to their greatuncl stan shop in graviti fall oregon for the summer they think it will be bore but when dipper find a strang journal in the wood they learn about some strang secret about the town welcom to graviti fall just north of normal west of weird follow the adventur of dipper and mabel pine while the two twin thought thi would be just anoth summer vacat in graviti fall oregon with their grunkl stan littl did they know danger lurk around everi corner in littl graviti fall meet dipper the more matur smart twin want noth but to figur out who wrote three journal and then we have mabel the likeabl humor twin onli want to have fun and fall for boy after boy with each other by their side can they figur out the mysteri of the small town dipper a bright kid who is obsess with the paranorm and discov mysteri mabel a funni kid who is obsess with boy band and fall in love with boy these two are twin who will stand by each other side till the end now theyll have to when have their home and town graviti fall is threaten by an evil spirit with the help from friend and famili they tri to defeat thi evildo and figur out the mysteri of graviti fall twin dipper and mabel pine are sent to spend the summer with their greatuncl grunkl stan in the mysteri town of graviti fall ore grunkl stan ha the kid help him run the mysteri shack the tourist trap that he own the twin tri to adapt to the weird surround but sens there is someth strang about graviti fall and begin to unlock it secret when dipper uncov a cryptic journal that offer insight into the town mysteri he and mabel use it and their enthusiast desir to vanquish evil to battl the immin mysteri that surround them an anim tv show base on the wacki town of graviti fall oregon and a set of twin who are visit their great uncl gruncl stan in hi tacki novelti shop the twin thought thi town would just be the worst but when one of them find a mysteri book they realiz that graviti fall ha more adventur to offer than they thought,"2012, 2016",8.9,,51185.0,23,"Jason Ritter, Alex Hirsch, Kristen Schaal, Linda Cardellini"
18,18,friends,comedi romanc,follow the person and profession live of six twenti to thirtysomethingyearold friend live in manhattanfollow the person and profession live of six twenti to thirtysomethingyearold friend live in manhattan rachel green ross geller monica geller joey tribbiani chandler bing and phoeb buffay are six someth yearold live off of one anoth in the heart of new york citi over the cours of ten year thi averag group of buddi goe through massiv mayhem famili troubl past and futur romanc fight laugh tear and surpris as they learn what it realli mean to be a friend ross geller rachel green monica geller joey tribbiani chandler bing and phoeb buffay are six someth year old live in new york citi over the cours of year these friend go through famili love drama friendship and comedi the misadventur of year old friend in new york citi joey a struggl actor monica a chef rachel a waitress who hope to work in fashion ross a paleontologist chandler who hate hi job in data process and phoeb a masseusemusician with a littl help from my friend is a song written by the beatl and expertli cover by joe cocker and it could easili be the subtitl for the thirti minut comedi friend in the idea wa creat for friend a show about six friend in new york as they navig their way through life and learn to grow up as they approach the third decad of their life all with the help from each other to get them through the obstacl that life natur ha for us monica is the excess neat and organ older sister of the group who work as a chef while yearn to find her ideal love ross monica older brother is a paleontologist with a lifelong crush on rachel he is a laidback man with low self esteem and a recent divorce rachel is the pretti bubbl girl who spent most of her life as a spoil rich princess now she must learn to face the real world chandler is ross colleg buddi and the guy who will crack joke at a moment notic phoeb is a lovabl eccentr masseus who easili could have fit in with haight ashburi in the s and joey the friend who ha an invers relationship between hi good look and hi intellig he dream of becom an actor these six individu make up the cast of friend in may friend offici end it phenomen year run the show time slot wa taken over by a spinoff call joey six young someth peopl from new york citi manhattan on their own and struggl to surviv in the real world find the companionship comfort and support they get from each other to be the perfect antidot to the pressur of life thi averag group of buddi goe through massiv mayhem famili troubl past and futur romanc fight laugh tear and surpris as they learn what it realli mean to be a friend a comedi seri base in manhatten about young friend in the struggl to find success and happi in life but it is never that straight forward is it rachel green a popular schoolgirl of the past is now a spoil brat live off her father financ in an attempt to start a new life after run out on her wed she share an apart with an old best friend monica geller and eventu befriend the other and monica older brother ross monica geller a compuls neat freak who ha troubl with her love life monica wa teas when she wa in high school for be overweight howev now a headchef at a top restaur in manhatten she ha lost all her excess weight and just want to start a famili with the right guy to complet a happi life ross geller older brother of monica he ha alway had strong love feel for rachel a success professor of scienc lead him to be often teas by the other friend about hi profess ross ha experienc mani misfortun in life includ divorc and bring up a child with hi lesbian exwif ross now is devot to find a girl to settl down with without a divorc and make it hi person goal to share happi with rachel phoeb buffay brought up as a fatherless child phoeb is a ditzi yet loveabl hippi who ha becom a person masseus despit like her profess her dream is to becom a star in the music industri and base her song on her life experi the other friend secretli believ that phoeb will never make it but still encourag her to write phoeb often perform at the central perk coffe hous and strongli believ in herself chandler bing a financi secur data processor who reli on humor as a defens mechan despit be rich the other have no idea what hi profess is and chandler is a wimpi averag look cigarett addict who ha never had a seriou relationship will he ever get it and is she just round the corner from him joey tribiani despit be close to all the friend he is especi open with chandler who hi also hi roommat joey is a small time actor who desper want fame and fortun and chandler ha high hope of joey so help joey with money for act lesson and profession photograph despit be a rel bad actor joey is an ador sensit guy who is veri success with women but need to becom famou and rich to complet hi success life,"1994, 2004",8.9,,660471.0,22,"Jennifer Aniston, Courteney Cox, Lisa Kudrow, Matt LeBlanc"
19,19,batman: the animated series,anim action adventur,the dark knight battl crime in gotham citi with occasion help from robin and batgirlth dark knight battl crime in gotham citi with occasion help from robin and batgirl heir to the wayn famili fortun bruce wayn live by day as a seemingli lavish playboy millionair socialit but by night assum the role of hi crimefight alterego the cape crusad known as batman throughout the anim seri batman receiv help from sidekick robin and batgirl as well as polic commission gordon in protect the street of gotham citi from a larg rogu galleri of crimin lunat and nemes thi anim seri convey the dark mood of the origin batman comic book unlik the light action batman show of the s gotham citi cape crusad bruce wayn is sometim moodi and robin alter ego dick grayson ha a morematur person than in the origin seri,"1992, 1995",8.9,,73472.0,23,"Kevin Conroy, Loren Lester, Efrem Zimbalist Jr., Bob Hastings"
20,20,seinfeld,comedi,the continu misadventur of neurot new york citi standup comedian jerri seinfeld and hi equal neurot new york citi friendsth continu misadventur of neurot new york citi standup comedian jerri seinfeld and hi equal neurot new york citi friend jerri seinfeld star in thi televis comedi seri as himself a comedian the premis of thi sitcom is jerri and hi friend go through everyday life discuss variou quirki situat to which we can all relat especi if we live in new york citi the eccentr person of the offbeat charact who make up jerri social circl contribut to the fun one of the most watch televis show of the s thi show wa a truetolif comedi seri that follow the event of a group of friend the group consist of jerri seinfeld a standup comedian who question everi bizarr tidbit about life georg costanza a hardluck member of the new york yanke organ elain bene a flashi woman and book editor who is not afraid to speak her mind and cosmo kramer an extrem eccentr lanki goofbal anoth veri notabl member of the show is newman a chubbi mailman friend of kramer and almost alway nemesi of jerri other sourc of comedi appear in the form of the parent of both jerri and georg jerri seinfeld is a veri success standup comedian mainli becaus the peopl around him offer an endless suppli of great materi hi best friend is georg a bald whini loser who crave the kind of success jerri ha but is never will to do what it take to get it jerri neighbor kramer often barg into hi apart and impos onto hi life in the second episod jerri former girlfriend elain come back into hi life and the four of them are abl to form a friendship togeth the episod were rare veri plotheavi focus more on mundan convers and situat that could be found dure everyday life in new york citi,"1989, 1998",8.9,,221800.0,22,"Jerry Seinfeld, Julia Louis-Dreyfus, Michael Richards, Jason Alexander"
21,21,"love, death & robots",anim comedi fantasi,a collect of anim short stori that span variou genr includ scienc fiction fantasi horror and comedya collect of anim short stori that span variou genr includ scienc fiction fantasi horror and comedi,2019,8.8,,42857.0,15,"Scott Whyte, Nolan North, Matthew Yang King, Michael Benyaer"
22,22,narcos,biographi crime drama,a chronicl look at the crimin exploit of colombian drug lord pablo escobar as well as the mani other drug kingpin who plagu the countri through the yearsth rise of the guadalajara cartel as an american dea agent learn the danger of target narco in mexico narco mexico explor the origin of the modern drug war by go back to it root begin at a time when the mexican traffick world wa a loos and disorgan confeder of independ grower and dealer wit the rise of the guadalajara cartel in the s as f lix gallardo take the helm unifi traffick in order to build an empir when dea agent kiki camarena move hi wife and young son from california to guadalajara to take on a new post he quickli learn that hi assign will be more challeng than he ever could have imagin as kiki garner intellig on f lix and becom more entangl in hi mission a tragic chain of event unfold affect the drug trade and the war against it for year to come,2018,8.5,,29870.0,50,"Diego Luna, Scoot McNairy, Michael Peña, Alyssa Diaz"
