,0
Cha Hwa Yun,"['Encounter', 'My Only One', 'Secret Mother', 'Hospital Ship', 'I’m Sorry Kang Nam Goo', 'Mrs. Cop 2', 'Mom', 'Family Secrets', 'My Secret Hotel', 'It’s Okay, That’s Love', 'Make a Wish', 'Big Man', 'A Well Grown Daughter, Hana', 'King’s Daughter Soo Baek Hyang', 'Will You Love and Give It Away?', 'Thorn Flower', 'Queen of Ambition', 'A Hundred Year’s Inheritance', 'Missing You @ I Miss You', 'Five Fingers', 'A Gentleman’s Dignity', 'The Wedding Scheme', 'The Equator Man', 'Come, Come, Absolutely Come', 'A Thousand Kisses', 'Protect the Boss', 'Thorn Birds', 'My Princess', 'I Am Legend', 'Jejungwon', 'Temptation of an Angel', 'City Hall', 'Aeja’s Older Sister, Minja', '2018 KBS Drama Award', '2015 MBC Drama Award', '2013 MBC Drama Award', '2011 MBC Drama Award']"
Cha Hyun Jung,"['Everything Kimchi', 'Pretty Man', 'Fantastic Tower', 'IRIS 2', 'When Women Powder Twice', 'Obstetrics and Gynecology Doctors', 'Hong Gil Dong', 'Goong S', 'The Bizarre Bunch', 'Let’s Go To The Beach']"
Cha Joo Ok,"['Good For You', 'Even So Love', 'Attic Cat']"
Cha Joo Young,"['Wok of Love', 'Jugglers', 'Ice Binggoo', 'Laurel Tree Tailors', 'Cheese in the Trap', 'My Unfortunate Boyfriend', 'Dr. Frost']"
Cha Jung Won,"['My Absolute Boyfriend', 'Special Labor Inspector Jo', 'Lawless Lawyer', 'Oh! Dear Half-Basement Goddesses', 'Wednesday 3:30 PM', 'All About My Mom', 'She Was Pretty']"
Cha Min Ji,"['Priest', 'Voice 2', 'Fighter Choi Kang Soon', 'Go Back Couple', 'Mystery Queen', 'The Firstborn', 'The Whereabouts of Noh Sook Ja', 'My Daughter Seo Yeong', 'I Need a Fairy', 'The Princess’ Man', 'Secret Garden', 'Jungle Fish', 'Dae Wang Sejong', 'The King and I', 'The Immortal Lee Soon-Shin', 'Sweet 18']"
Cha Se Young,"['Lucky Romance', 'Super Daddy Yeol', 'The Family Is Coming']"
Cha Seo Won,"['Fashion King', 'Hometown Legends', 'How to Meet a Perfect Neighbor', 'Bad Couple', 'Marrying a Millionaire']"
Cha Soo Yun,"['Fates and Furies', 'Twelve Nights', 'Miss Hammurabi', 'As Far as the Distance Dance', 'Bird That Doesn’t Cry', 'My Heart Twinkle Twinkle', 'Liar Game', 'My Love, Madame Butterfly', 'A Thousand Kisses', 'Hair Show', 'Stormy Lovers', 'Hot Blood', 'The World That They Live In', 'Time Between Dog and Wolf']"
Cha Ye Ryun,"['Glamorous Temptation', 'She’s So Lovable', 'Golden Rainbow', 'Royal Family', 'Dr. Champ', 'Invincible Lee Pyung Kang', 'Style', 'Star’s Lover', 'Working Mom', 'Bad Love']"
Chaeyeon,"['My First First Love', 'To. Jenny', 'Luv Pub', 'Shall We Live Together', 'I Am', 'Reunited Worlds', '109 Unusual Things Have Happened', 'Drinking Solo']"
Chae Gook Hee,"['Chae Si R', 'Fantastic', 'Dear My Friends', 'Maids', 'Style']"
Chae Ji Ahn,['The Ghost Detective']
Chae Jung Ahn,"['Legal High', 'Suits', 'Man to Man', 'Doctors', 'Entertainer', 'Yong Pal', 'Ex-Girlfriend Club', 'A New Leaf', 'The Prime Minister and I', 'Your Noir', 'When A Man Loves', 'Queen of Reversals', 'Hot Blood', 'Cain and Abel', 'The 1st Shop of Coffee Prince', 'Sea God', 'Breathless']"
Chae Min Hee,"['Criminal Minds', 'TV Novel – Sea of the Woman', 'Master: God of Noodles', 'Golden Cross', 'TV Novel – Eun Hee', 'TV Novel Bok Hee', 'Mary Stayed Out All Night', 'Kyung Sook’s Father']"
Chae Min Seo,"['You Don’t Know Women', 'Money’s Warfare', 'Bad Couple']"
Chae Rim,"['Park Yoon Ja', 'Oh! My Lady', 'Good Job, Good Job', 'Powerful Opponents', 'Dal Ja’s Spring', 'Oh! Pil Seung And Bong Soon Young', 'We Are Dating Now']"
Chae Seo Jin,"['Kim Ok Bi', 'Coffee, Please', 'Girls’ Generation 1979', 'Over the Rainbow']"
Chae Si Ra,"['Chae Gook He', 'The Banker', 'Goodbye to Goodbye', 'Unkind Women', 'Five Fingers', 'Queen Insoo', 'Empress Chun Chu', 'The Invisible Man', 'Emperor of the Sea', 'Terms of Endearment', '2018 MBC Drama Award', '2015 KBS Drama Award', '2012 SBS Drama Award', '2012 SBS Drama Award']"
Chae So Young,"['The Package', 'Temperature of Love', 'All About My Mom', 'Temptation', 'Can’t Take It Anymore', 'Do You Know Taekwondo?', 'Mom is Pretty Too', 'The Road Home', 'Dae Jang Geum']"
Chae Song Hwa,"['Smashing on Your Back', 'Birdie Buddy']"
Chae Soo Bin,"['Where Stars Land', 'I’m Not a Robot', 'If We Were a Season', 'Strongest Deliveryman', 'Rebel: Thief Who Stole the People', 'Shopping King Louis', 'Moonlight Drawn by Clouds', 'Sassy Go Go', 'Blue Bird’s House', 'Spy', 'The Diary of a Resentful Woman', 'The Diary of Heong Yeong Dang', '2018 SBS Drama Award', '2017 MBC Drama Award', '2015 KBS Drama Award', '2018 SBS Drama Award']"
Chae Young In,"['Glowing She', 'Live in Style', 'Stars Falling From the Sky', 'Terroir', 'Temptation of Wife', 'I Am Happy', 'Damo']"
Cho Shi Yoon,['Seonam Girls High School Investigators']
Choi Ah Ra (1995),"['Big Heat', 'Second Proposal']"
Choi Ah Ra (1993),['Age of Youth 2']
Choi Bae Young,['Age of Youth 2']
Choi Da In,"['Big Man', 'Goddess of Marriage', 'Their Perfect Day', 'I Love You', 'A Wife’s Credentials']"
Choi Eun Kyung,"['Cinderella and Four Knights', 'Late Night Restaurant', 'Flower of the Queen', 'Sweden Laundry', 'The Heirs', 'Potato Star 2013QR3', 'Standby', 'A Wife’s Credentials', 'High Kick! 2', 'Tae Hee, Hye Kyo, Ji Hyun', 'Hello, Francesca']"
Choi Eun Seo,"['Stormy Lovers', 'Personal Preference', 'The 1st Shop of Coffee Prince', 'Dal Ja’s Spring', 'Sharp 3']"
Choi Ha Na,"['Unkind Women', 'Shut Up Family', 'The Great Gift', 'Giant', 'Dong Yi', 'Big Sister', 'The King and I', 'Lovers', 'Bad Family', 'The Youth in Bare Foot']"
Choi Hee Jin,['Hide and Seek']
Choi Hee Seo,"['Big Forest', 'Mistress', 'Scandal: A Shocking and Wrongful Incident', 'Just Like Today']"
Choi Hwa Jung,"['Temperature of Love', 'The Best Hit', 'Jealousy Incarnate', 'Wonderful Days', 'One Warm Word', 'Can We Get Married ?', 'The Greatest Love', 'Kim Soo Ro']"
Choi Hyo Eun,"['Mrs. Cop', 'School 2015: Who Are You?', 'Kill Me, Heal Me', 'My Lovely Girl', 'Reset']"
Choi Hyun Seo,"['Unique Daughters-in-Law', 'Strong Woman Do Bong Soon', 'Miss Korea', 'Gu Am Heo Joon', 'Queen of Ambition', 'Oh Ja Ryong is Coming']"
Choi In Kyung,"['God of the Workplace', 'Great Inheritance']"
Choi Ja Hye,"['The Last Empress', 'Sweet Enemy', 'The Sound of My Wife Breathing', 'It’s Okay, Daddy’s Girl', 'King of Baking, Kim Tak Goo', 'Powerful Opponents', 'Lobbyist', 'Fugitive Lee Doo Young', 'Spring Waltz', 'Be Strong Geum Soon', 'Dae Jang Geum']"
Choi Ji Hun,"['Circle', 'Can We Get Married ?']"
Choi Ji Na,"['100 Days My Prince', 'Rich Man', 'Ruler: Master of the Mask', 'Laurel Tree Tailors', 'Entertainer', 'Let’s Fight Ghost', 'The Merchant: Gaekju 2015', 'TV Novel – Single Minded Dandelion', 'Joseon Gunman', 'Endless Love', 'The Heirs', 'Goddess of Fire', 'Can’t Live without You', 'Queen Insoo', 'King Geunchogo', 'Temptation of an Angel', 'The Sons of Sol Pharmacy House', 'A Man’s Story', 'I Am Happy', 'Fly High', 'Blissful Woman', 'My Rosy Life']"
Choi Ji Won,"['Bride of the Water God', 'Good Person', 'Master: God of Noodles', 'The Great Wives', 'Mask', 'Angel Eyes', 'Everybody, Kimchi!', 'Hold My Hand', 'Can’t Take It Anymore', 'Monstar', 'Family', 'It Was Love', 'I Do, I Do', 'My Husband Got a Family', 'Flower Boy Ramyun Shop']"
Choi Ji Woo,"['The Most Beautiful Goodbye in the World', 'Seven First Kisses', 'Woman with a Suitcase', 'Second Time Twenty Years Old', 'Temptation', 'The Suspicious Housekeeper', 'Can’t Live With Losing', 'Star’s Lover', 'Air City', '101st Proposal', 'Stairway to Heaven', 'Winter Sonata']"
Choi Ji Yun,"['I Order For You', 'I Need a Fairy', 'Chun Ja’s Happy Events']"
Choi Jin Shil,"['Jo Sung Mi', 'Choi Jin Youn', 'Ahn Jae Hwa', 'The Last Scandal of My Life', 'Bad Woman, Good Woman', 'My Rosy Life', 'War of the Roses', 'Since We Met', 'Ahn Jae Hwa', 'Choi Jin Youn', 'Jo Sung Mi']"
Choi Joo Hee,"['Cunning Single Lady', 'Beloved']"
Choi Joo Ri,"['TV Novel – The Stars Are Shining', 'Pinocchio', 'Seonam Girls High School Investigators', 'I Summon You, Gold!']"
Choi Jung Hwa,"['Yoo Na’s Street', 'A New Leaf', 'Everybody, Kimchi!', 'Big Man', 'Witch’s Romance', 'Noblewoman', 'Cunning Single Lady', 'Hold My Hand', 'Secret Love', 'Her Legend', 'The Queen of Office', 'An Angel’s Choice', 'High Kick! 3']"
Choi Jung Won,"['Fluttering Warning', 'Borg Mom', 'You Are Too Much', 'The Shining Eun Soo', 'The Time We Were Not In Love', 'The Family Is Coming', 'My Secret Hotel', 'I Need a Fairy', 'Invincible Parachute Agent', 'Beating Heart']"
Choi Jung Yoon,"['Cheongdamdong Scandal', 'Could We Love ?', 'Cheer Up, Mr. Kim', 'An Angel’s Choice', 'Ojakgyo Brothers(KBS2, 2011', 'Manny', 'Smile, You', 'Last Scandal', 'That Woman is Scary', 'Bad Couple', 'Thank You', 'Love Can’t Wait', 'Attic Cat', '2014 SBS Drama Award', '2011 KBS Drama Award']"
Choi Kang Hee,"['Mystery Queen 2', 'Han Yeo Reum’s Memory', 'Mystery Queen', 'Glamorous Temptation', 'Heart to Heart', '7th Grade Civil Servant', 'Protect the Boss', 'My Sweet City', 'Thank You', 'Beating Heart', 'Our Attitude to Prepare Parting', 'Sweet Buns', 'Land of Wine', '2011 SBS Drama Award', '2011 SBS Drama Award', '2011 SBS Drama Award', '2011 SBS Drama Award']"
Choi Min Geum,"['Let’s Fight Ghost', 'Happy Home']"
Choi Myung Bin,"['Trap', '100 Days My Prince', 'Prison Playbook', 'Black', 'TV Novel – Dal Soon’s Spring', 'Suspicious Partner', 'Chicago Typewriter', 'Tunnel']"
Choi Myung Gil,"['Mother of Mine', 'Clean With Passion For Now', 'Mysterious Personal Shopper', 'Entourage', 'The Good Wife', 'You Are a Gift', 'Sweet Home, Sweet Honey', 'Blue Bird’s House', 'Punch', 'Marry Him If You Dare', 'I Summon You, Gold!', 'Glory Jane @ Man of Honor', 'Miss Ripley', 'Stormy Lovers', 'King Geunchogo', 'Invincible Lee Pyung Kang', 'Hateful But Once Again', 'Dae Wang Sejong', 'By My Side', 'South of the Sun', '2015 SBS Drama Award']"
Choi Na Moo,"['What’s Wrong With Secretary Kim', 'Eulachacha Waikiki', 'Father is Strange', 'Fight for My Way', 'The Liar and His Lover', 'TV Novel – My Mind’s Flower Rain', 'Goblin', 'Weightlifting Fairy Kim Bok Joo', 'Fantastic', 'Shopping King Louie', 'Moonlight Drawn by Clouds', 'My Love Eun Dong', 'The Shiniest Time in Life']"
Choi Ran,"['Women’s Secret', 'Big', 'Man of Honor', 'Poseidon', 'Daughters of Bilitis Club', 'Dong Yi', 'You’re Beautiful', 'Don’t Hesitate', 'Swallow the Sun', 'Strongest Chil Woo', 'Hong Gil Dong', 'Thirty Thousand Miles in Search of My Son', 'Kimcheed Radish Cubes', 'Air City', '101st Proposal', 'My Girl', 'Sad Goodbye', 'Sad Love Song', 'Delightful Girl Choon Hyang', 'Into The Storm', 'Second Proposal', 'All In']"
Choi Ri,"['My First First Love', 'Come and Hug Me', 'Witch’s Court', 'Goblin', 'Blow Breeze']"
Choi Seol Ri,"['f(x', 'To the Beautiful You', 'Welcome to the Show', 'Vacation', 'Love Needs a Miracle', 'Ballad Of Suh Dong', '2012 SBS Drama Award']"
Choi So Eun,['Princess Aurora']
Choi Song Hyun,"['Big Issue', 'Chicago Typewriter', 'On the Way to the Airport', 'Vampire Detective', 'Mama – Nothing to Fear', 'Potato Star 2013QR3', 'TEN 2', 'I Need Romance 2012', 'Can’t Live without You', 'I Need Romance', 'Prosecutor Princess', 'The Birth of the Rich', 'Smile, You', 'Mrs. Town', 'Gourmet']"
Choi Soo Eun,"['The King of Dramas', 'You’re Beautiful', 'Soul']"
Choi Soo Rin,"['Yoo Hye R', 'Enemies From the Past', 'Bad Thief, Good Thief', 'Always Spring', 'Sweet Home, Sweet Honey', 'Mom', 'Bird That Doesn’t Cry', 'School 2015: Who Are You?', 'Apgujeong Midnight Sun', 'TV Novel – Single Minded Dandelion', 'High School – Love On', 'Golden Cross', 'Will You Love and Give It Away?', 'Her Legend', 'Birth Secret', 'Horse Doctor', 'Soldier', 'Twelve Men in a Year', 'Live in Style', 'Sparkling', 'I Believed in Men', 'Home Sweet Home', 'Chosun Police 3', 'Kim Soo Ro', 'Golden Fish', 'Hero', 'Hometown Legends', 'Partner', 'Give Me Food', 'Kyung Sook’s Father', 'My Precious Child', 'You Are Very Good', 'Catch A Kang Nam Mother', 'Hello! Miss', 'Sharp 3', 'Mom’s Song']"
Choi Soo Young,"['SNS', 'Man Who Sets the Table', 'Someone Noticeable', '38 Task Force', 'Perfect Sense', 'The Spring Day of My Life', 'Dating Agency: Cyrano', 'The 3rd Hospital', 'A Gentleman’s Dignity', 'Paradise Ranch', 'Oh! My Lady', 'Unstoppable Marriage', '2014 MBC Drama Award']"
Choi Sun Ja,"['My Heart Twinkle Twinkle', 'New Tales of Gisaeng', 'Queen of Ahyun']"
Choi Sun Young,['Producer']
