,Unnamed: 0.1,Title,Genre,Network,Summary,Year,Rating,Metascore,Votes,Runtime,Actors
10,10,beautiful world,famili melodrama,jTBC,thi drama tell the stori of a boy who becom critic injur due to an incid of school violenc and hi famili who seek the truth and fight for justic in hi namepark moo jin park hee soon and kang in ha choo ja hyun are a marri coupl park moo jin work as a high school teacher and kang in ha run a bakeri they enjoy their live with their children their peac day soon turn into a hellish experi their son who is in the rd grade of middl school is serious injur due to school violenc park moo jin and kang in ha tri to reveal the truthmeanwhil oh jin pyo oh man suk and seo eun joo jo yeo jung are a marri coupl they are both from wealthi famili oh jinpyo is the chairman of a privat school foundat inherit from hi famili they have never experienc failur or lack anyth they have a son who make troubl the parent coverup for their son s misbehaviorbeauti world tell of an incid of school violenc which leav a young boy on the precipic of life and death as hi famili seek for justic in hi stead park moo jin and kang in ha is a marri coupl park moo jin work as a high school teacher and kang in ha run a bakeri they enjoy their live with their two children to the fullest but their peac day suddenli turn into one of a hellish experi their son park sun ho who is in hi rd year of middl school becom a victim of school violenc and get serious injur park moo jin and kang in ha tri to reveal the truth behind the assault that hurt their son their daughter park soo ho who attend a year lower at the same school also decid to seek the truth behind her brother attack in her own way meanwhil oh jin pyo and seo eun joo is a marri coupl who are both from wealthi famili oh jin pyo is the chairman of a privat school foundat inherit from hi famili the coupl ha never experienc failur or lack anyth howev that fact quickli chang when their son oh joon seok stir up troubl at school thi sudden chang forc oh jin pyo and seo eun joo to frantic tri to cover up their son misbehavior in order to safe secur their place in the societi the two famili get entangl into a complic case as they both desper strive for clash goal to find a beauti world in their live,2019,,,,,"Ja-Hyeon Chu, Tae-Gwang Hwang, Jung Jae-Sung, Yeo-jeong Jo"
11,11,my fellow citizens,comedi crime,KBS2,thi drama tell the stori of a con man who get involv with unexpect incid marri a polic offic and somehow end up run to becom a member of the nation assemblyyang jung kook is a veteran conman but he ha never been arrest one day hi girlfriend suddenli run off with the money they were go to use for their marriag yang jung kook is extrem upset and he goe out to drink he meet kim mi young she is go through a hard time herself becaus of her boyfriend cheat way yang jung kook tell her that he run a busi and kim mi young tell him that she work for a small compani kim mi young is actual a detect they find comfort with each other and they develop a relationship romant on their wed day kim mi young reveal to yang jung kook that she is actual a detect meanwhil park hoo ja is a mysteri woman she run a privat loan busi that she inherit from her father her father wa swindl by yang jung kook park hoo ja find yang jung kook and blackmail him into run for a nation assembl seat,2019,,,,,"Si Won Choi, Suk-ho Jun, Hae-yeon Kil, Eui-sung Kim"
12,12,the banker,drama,MBC,thi drama is base on the japanes manga kansayaku nozaki shuhei which wa written by ryouka shuu and illustr by shigeru noda from to it s tell the stori of a bank auditor pursu justic and polici chang at a time when an econom bubbl is collaps no dae ho kim sang joong is an honest and sincer man he work as a branch manag of daehan bank which is locat in a small citi the branch is on a soon to be shutdown list surprisingli no dae ho is promot to an auditor at the bank s headquart in seoul no dae ho then face corrupt at the banka remak of the japanes auditor nozaki shuhei it is the stori of a bank auditor who pursu justic and the chang of polici in an era where the econom bubbl is collaps and financi author are in battl over money and power,2019,,,,,"Nae-sang Ahn, Woo-yeon Ahn, In-ha Cha, Shi-ra Chae"
13,13,eulachacha waikiki ,comedi,jTBC,thi drama depict the friendship love and dream of young peopl it s the second season of popular sitcom eulachacha waikiki season lee joon ki lee yi kyung is an unpopular actor he run the guest hous waikiki but the guest hous is face bankruptci to reviv the guest hous lee joon ki drag hi friend cha woo sik kim sun ho and kook ki bong shin hyun soo who all graduat from the same high school to invest in the guest housecha woo sik is a picki person and he want to becom a singer due to lee joon ki he put all hi money into waikiki kook ki bong use to be a promis basebal player but he now play in the minor leagu due to lee joon ki he also put all hi money into waikiki along with these men han soo yeon moon ga young kim jung eun ahn so hee and cha yoo ri kim ye won all begin to live at waikikiwith big dream of financ their own film project three struggl young men join forc in a guesthous ventur that is anyth but profit three veri differ young men dong goo the bad luck incarn who dream of becom a film director joon ki an eccentr actor who perform to make a live and doo shik a freelanc writer who fiddl around do noth most of the time open a guest hous name waikiki in itaewon where mani foreign come to stay although they have no clue how to run it theyr eager to earn money to pay for the product of their upcom film join by dong goo younger sister seo jin who actual manag the household in waikiki singl mother yoon ah who ha made an unexpect land in the guest hous with her mysteri babi and dong goo exgirlfriend soo ah they all start live togeth in an uncomfort and suspici atmospher,2018,8.3,,481.0,,"Won-Hee Go, In-sun Jung, Jung-hyun Kim, Yi-Kyeong Lee"
14,14,mother of mine,famili,KBS2,thi drama is about a stori of a mother and three daughter live in modern day korean societi the drama convey a messag about the low fertil rate divorc rate and the problem of the younger gener who are avoid marriagepark sun ja kim hae sook is an ordinari korean mother who own a small rice hous she ha three daughter a drunk husband who resort to alcohol ha a toxic motherinlaw and endless difficulti with money but despit all the hardship she doe everyth possibl for the futur of her children so that they do not repeat her fate and send everyon to studi at the universityit look like we dont have ani plot summari for thi titl yet be the first to contribut just click the edit page button at the bottom of the page or learn more in the plot summari submiss guid,2019,,,,,"Myeong-Gil Choi, Jong-hyeon Hong, Tae-young Ki, Ha-Kyung Kim"
15,15,confession,mysteri,tvN,thi drama tell the stori of choi do hyun lee joon ho who becom a lawyer in order to clear hi father s name after he ha been wrongli accus of murderle duseok publish an autobiographi describ murder he commit after the statut of limit expir a detect and one of the victim mother search for the author while anoth killer begin a spree of murder after the statut of limit expir on the murder he ha commit lee duseok publish an autobiographi describ all hi murder in great detail detect choi who investig lee murder year ago start the chase onc again and han jisoo who lost her daughter to lee pledg vengeanc meanwhil anoth killer appear cast doubt to whether lee is the real serial killer the key here is how well the stori juggl the truth and how solid the descript of the charact tangl relationship is in korea the serialkil lee dusok ha kill ten women and there is anoth one miss that the polic depart believ he is the respons for her disappear after fifteen year the statut of limit expir on hi last murder and lee dusok publish a book describ each murder in detail detect choi who wa in charg of the investig of all the ten murder chase lee dusok and challeng him to tell where the eleventh victim is meanwhil han jisoo who is the mother of hi last victim seek reveng with her famili and friend the owner of a sensationalist televis network invit lee dusok and detect choi for a debat live out of the blue a man with the alia j call the tv dure the debat and tell that he is the real killer and lee dusok is a fraud who should be the real killer,2012,7.1,,6918.0,119,"Byung-gil Jung, Jae-yeong Jeong, Shi-hoo Park, Hae-Kyun Jung, Yeong-ae Kim"
16,16,kill it,thriller action,OCN,thi drama is about a veterinarian killer who save anim and a detect who save peoplewil a killerturnedveterinarian and a detect find a common ground kim soo hyun is a veterinarian who wa onc a profession killer nobodi in the public know anyth about him as a killer includ hi age name and race deep insid he constantli look for love but struggl to develop and maintain ani pure relationship around him do hyun jin is a brilliant detect work in seoul who graduat from polic academi as the most excel although she look cold and stern on the outsid she is in fact a veri sympathet individu hyun jin trust her instinct and isnt afraid to reli on the thing around her to make a decis to the best of her abil she ha suffer trauma but still keep push forward,2019,8.4,,27.0,,"David Lee McInnis, Jin-Ah Im, No Jeong-ee, Il-Joo Ji"
17,17,doctor prisoner,medic,KBS2,thi drama tell the stori of a skill doctor who is forc to quit the hospit after be accus of medic malpractic he start work in a prison with the goal of acquir enough connect to take hi reveng,,,,,,
18,18,he is psychometric,comedi mysteri romant fantasi,tvN,lee ahn park jin young ha the abil to read one s secret when he touch someon and he decid to use it to take bad peopl down while he doesn t know how to control hi power yet he meet yoon jae in shin ye eun a woman who tri her best to hide her secret they will team up to solv casesa boy who is abl to read the secret of those whose skin come into contact with him and a girl who doe everyth she can to hide her pain in the drama the boy and girl will meet and tri to fix heal grow and love from the small and big occurr that happen in their live,2019,8.3,,40.0,,"Hyo-Seob Eom, Eui-soo Jang, Mi-seon Jeon, Byeong-gyu Jo"
19,19,big issue,thriller romant fantasi,SBS,thi drama is about the stori of a paparazzo who chase after celebr scandalsdu to a controversi photo han suk joo joo jin mo lose everyth includ hi prestigi job as a photograph for a top newspap and hi famili meanwhil ji soo hyun han ye seul the notori chief editor of a paparazzi group tri to recruit han suk joo to becom a paparazzi photograph at her companyit look like we dont have ani plot summari for thi titl yet be the first to contribut just click the edit page button at the bottom of the page or learn more in the plot summari submiss guid,2019,,,,,"Song-hyeon Choi, Kim Gyu-Sun, Ye-seul Han, Jin-mo Ju"
20,20,possessed,horror comedi,OCN,hong seo jung go joon hee live a lone life shelter and away from other becaus she is a psychic medium but her quiet life come to an end when kang pil sun song sae byuk a polic detect in the middl of a case discov her hidden abil they decid to join forc to solv all kind of case use hi investig skill and her special abilitieskang pil sung work as a detect hi instinct as a detect are excel and he is foulmouth he is both lazi and rough but he is also softheart hong seo jung ha excel psychic mediumship but she tri to hide her abil thi caus her to keep a distanc from other peopl and she live a lone life while kang pil sung investig a case he happen to meet hong seo jung he think that she is differ from other and take an interest in her they begin to solv case togeth use their special abil,2019,7.9,,64.0,,"Daniel Joey Albright, Hyuk-jin Jang, Han Sun Jo, Ji-Hoon Jung"
21,21,love in sadness,melodrama,MBC,the drama is describ as be the stori of a romanc with life and death consequ the main lead are a woman who is be chase a man who is chase after her and the man who help to hide her from her chaser there will be peril pursuit secret desir and social commentaryseo jung won ji hyun woo is a plastic surgeon he is a good person smart and handsom he fall in love with yoon ma ri park han byul yoon ma ri is an artist and the daughterinlaw of a chaebol famili her marriag life is miser her husband kang in wook ryu soo young look like a perfect husband but he is obsess with yoon ma ri and violent toward her yoon ma ri decid to escap from her obsess husband she then meet seo jung won and fall in love with himlov in sad is a love stori that encapsul the mythicallik fate of love that is so covet that it ignor all bound in it love outweigh what the world think ignor the pain and anguish with it and pursu it destini in the drama ma ri is a beauti girl marri into wealth with a seemingli perfect life iron her husband in wook who look like a more than ideal husband is an obsess lunat who is also violent abus when he push her too far she reach out for help from jung won an honest smart handsom plastic surgeon and when he agre to help her escap from her husband hand they fall in love but in wook who is consum by hi obsess for her isnt go to let her get away from hi grasp watch as these two charact struggl to stay on their arduou road to love,2019,6.8,,5.0,,"Hyun-Woo Ji, Won-joong Jung, Ye-ryeong Kim, Yoon-joo Kim"
22,22,the fiery priest,comedi crime,SBS,thi drama is about kim hae il kim nam gil who is a priest with anger issu goo dae young kim sung kyun who is a gudam polic detect and park kyung sun lee ha nui who is a prosecutor they join and work togeth to find the killer of a priesta drama about a cathol priest with anger manag issu and a detect from the gudam polic station who meet dure their joint investig into the murder of an elderli priest,2019,8.0,,23.0,35,"Ji-won Baek, Joon Go, Lee Hanee, Sung-woo Jeon"
23,23,"i hate you, juliet!",romant,Oksusu,thi drama tell the stori of a man who get the power to hear her voic and a woman who learn that her thought get share with himaft an electr shock a top celebr lee hong ki is suddenli abl to hear a scriptwrit s jung hye sung thought know her true thought and feel he find himself fall madli in love with her but when he lose hi abil to read her mind would he still be abl to win her heartit look like we dont have ani plot summari for thi titl yet be the first to contribut just click the edit page button at the bottom of the page or learn more in the plot summari submiss guid,2019,,,,,"Woong Choi, Hye-Seong Jung, Hong-ki Lee"
24,24,haechi,histor action,SBS,set dure the joseon dynasti period the seri follow three peopl from differ walk of life who came togeth to help princ lee geum jung il woo claim the throne and reform the saheonbuset dure the joseon dynasti period four peopl from differ walk of life come togeth to make princ lee geum the king and reform the saheonbu the four peopl are lee geum yeo ji park moon soo and dal moon,2019,8.8,,32.0,,"Ara Go, Sang-jin Han, Park Hoon, Il-Woo Jung"
25,25,item,crime mysteri fantasi,MBC,thi drama is base on the popular webtoon of the same name written by min hyung and illustr by kim joon suk which wa first publish from march via kakaocom it s about a profil and a prosecutor must uncov a conspiraci and the hidden secret surround uniqu item with supernatur powersa mysteri fantasi drama about a profil and a prosecutor who uncov a conspiraci and secret surround object with special power,2019,7.2,,39.0,35,"Kim Do-Hyun, Se-Yeon Jin, Ji-Hoon Ju, Lee Jung-Hyun"
26,26,dazzling,romant fantasi,jTBC,thi drama is about a woman who lose all her time befor she can use it up and a man who give up all of hi radiant moment and live a letharg lifekim hye ja han ji min hope to becom an announc she is honest and ha a posit person but she suddenli becom a yearold woman yearold kim hye ja kim hye ja gain the special abil to manipul time meanwhil lee joon ha nam joo hyuk want to becom a report he ha work hard to achiev hi dream but he now live hi life hopelessli he get involv with kim hye ja,,,,,,
27,27,trap,thriller mysteri,OCN,kang woo hyun lee seo jin is a respect anchor at a broadcast station he is a devout and happi father who enjoy be surround by hi charm famili he decid to tri hi luck in polit one day on a trip he make with hi famili a tragic incid happen meanwhil go dong kook sung dong il a veteran detect who doesn t stop at anyth until a case is solv decid to take the case of kang woo hyun and set out to investig what lie behind the tragic incidentthi drama seri show the delic relationship between a femal univers student hong seol kim goeun and her senior yoo jung park haejin hongseol doe parttim job sinc her household is pooryoo jung is perfect with good academ and athlet plu he is kind howev he also seem to have a dark side with some peopl hold grudg over him,2016,7.5,,1706.0,,"Hae-Jin Park, Go-eun Kim, Kang-Joon Seo, Song-Kyoung Lee"
28,28,legal high,law comedi,jTBC,thi drama is remak of fuji tv drama seri legal high which is star by masato sakai and yui aragakiit s about a caustic moneylov lawyer who will do anyth to win and a passion rooki lawyer with a strong sens of justicego tae rim jin goo is a lawyer he is arrog and make bite remark but he ha a win rate he can t even imagin ever lose a case and win case is the most import thing to him hi attorney s fee is obscen high meanwhil seo jae in seo eun soo is a passion rooki lawyer she want to help client trap in unfair situat howev he realiz that lawyer who do not win case are useless and she then decid to work with go tae rima stori of two complet differ lawyer go tae rim is a lawyer with a percent success rate who know how to play with the law and seo jae in is a rooki lawyer who believ in the law and justic,2019,7.5,,31.0,,"Yoon Bak, Jeong-an Chae, Yoo-sang Jang, Goo Jin"
29,29,rude miss young ae ,comedi,tvN,now marri to lee seung joon lee seung joon lee young ae kim hyun sook struggl to rais her babi as a work motherit look like we dont have ani plot summari for thi titl yet be the first to contribut just click the edit page button at the bottom of the page or learn more in the plot summari submiss guid,2007,,,,,"Won Joon Choi, Jung Da Hye, Seo Yeon Im, Hyun-sook Kim"
30,30,touch your heart,law comedi romant,tvN,thi drama is base on a web novel jinsimi dadda by yegeo which wa publish from dec to oct via kakaopag it will be center around the romanc between a success lawyer kwon jung rok lee dong wook and hi secretari oh jin shim oh yoon seo yoo in na the secretari is a disgrac former hallyu actress who is actual in disguis after be caught in a tabloid scandal with a third gener chaebol she desper want the lead role in a writer s drama for her work as a secretari in disguisea romanc between a lawyer and a top actress whose life goe downhil after becom caught up in a scandal with a third gener chaebol she fake her posit to becom the lawyer secretari in order to star in a famou writer drama,2019,8.0,,228.0,60,"Dong-Wook Lee, Sang-woo Lee, So-yeon Jang, Joon-Hyuk Lee"
31,31,babel,law mysteri,CSTV,thi drama is about a prosecutor who start hi career as a report for a newspap face a lifechang event when hi father die in an unexplain accid and hi mother take her own life with hi life shatter in piec he won t stop at anyth to uncov what happen and to get revengea prosecutor who start out as a newspap report whose person is describ as fieri and hottemp he grew up in a comfort life but one day hi famili is shatter when hi father die in an accid whose caus is unclear and hi mother take her own life when he find out that hi father bankruptci and death are connect to a conglomer he begin hi mission to uncov the truth and get reveng,2019,7.2,,17.0,,"Hie-jin Jang, Shin-yeong Jang, Park Joo-Hyung, Hae-sook Kim"
32,32,romance is a bonus book,comedi romant,tvN,thi drama is about the love stori between two peopl in their s who work in the world of publishingcha eun ho lee jong suk is a geniu writer and the youngest chief editor ever at hi publish compani he is smart and handsom he is also even temper at work but he ha a warm heart and a reason personalitymeanwhil kang dan yi lee na young use to be a popular copywrit but she is not anymor she is now broke and unemploy even though she tri to find a job due to her impress career and excel educ background she is unabl to find a new job final kang dan yi get a job by lie about her background at a publish compani where cha eun ho work as chief editor they begin to develop romant feel for each othercha eun ho is a success and handsom writer who is also the youngest chief editor at a publish compani he ha a calm demeanor and remain reason at work he then becom involv in the life of hi childhood friend kang dan yi who wa onc a popular copywrit she is now divorc a singl mother unemploy and struggl in life though still attempt to find a job but even with her onc good career she cannot howev in a desper attempt to find a job she lie about her background and begin to work as a temporari worker in the same build under none other than cha eun ho as they becom involv in each other life more than often a love stori begin to unfold,2019,8.1,,535.0,,"Eu-Gene Jeong, Han-chul Jo, Ki-Doong Kang, Tae-woo Kim"
33,33,kingdom,histor thriller fantasi,Netflix,thi will be netflix s second korean origin seri it is adapt from the webcom seri land of the god which wa author writer kim eun hee her first ventur into the webcom industri and drawn by yang kyung il which wa first publish on juli by rhk it s plan for three seasonsset in korea s mediev joseon period it tell the stori of a crown princ lee chang joo ji hoon who is sent on a suicid mission to investig a mysteri plagu that s spread across hi countri the truth threaten the kingdom when he discov that it is an atroci epidem in the form of zombieswhil strang rumor about their ill king grip a kingdom the crown princ becom their onli hope against a mysteri plagu overtak the land,2019,8.3,,9331.0,45,"Doona Bae, Greg Chun, Jun-ho Heo, Ji-Hoon Ju"
34,34,spring turns to spring,comedi fantasi,MBC,thi drama is about the stori of two women whose soul switch bodi give them chanc to live out their dream and gain new experienceskim bo mi lee yoo ri work as a tv news anchorwoman and she onli care about herself meanwhil lee bom uhm ji won wa onc a popular actress but she is now a lawmak s wife she focus onli on take care of her famili somehow these two women switch bodi,,,,,,
35,35,blessing of the sea,melodrama,MBC,thi drama is the modern version of the stori of shim chung yi lee so yun a woman who see the world in variou color and she meet ma poong do jae hee a pianist who see the world onli in black and white and find out the secret to her lost fatherth modern version of the stori of shim chung yi a woman who see the world in variou color and meet a pianist who see the world onli in black and white and find out the secret to her lost father,2019,,,,,"Nae-sang Ahn, Bo-ra Geum, Eun-Jin Ha, Hee Jae"
36,36,"what’s wrong, poong sang",famili comedi,KBS2,poong sang took care of hi younger sibl and support them financi becaus hi parent did not support them hi younger sibl are first younger brother jin sang first younger sister jung sang second younger sister hwa sang and youngest sibl we sang poong sang is now middleag but he ha never live hi life for himself he is still busi deal with the affair of hi younger sibl poong sang first younger brother jin sang make troubl as he wait for a chanc to chang hi life poong sang first younger sister jung sang is a doctor she is smart logic and coolhead poong sang second younger sister hwa sang ha an inferior complex due to her older sister jung sang she is also a troublemak like her older brother jin sang youngest sibl we sang dream of becom a profession basebal player but he ha fail to achiev hi dream,2019,7.1,,13.0,,"Lee Chang-Yeop, Hye-bin Jeon, Bo-Hee Lee, Si-young Lee"
37,37,neighborhood lawyer jo deul ho : crime and punishment,law comedi,KBS2,thi drama is base on the origin webtoon dongnebyunhosa jodeulho by hatchl which wa first publish on march via comicnavercomwebtoon the stori of jo deul ho park shin yang continu about a onc prosecutor turn lawyer who is current unemploy after a legal battl hi licens is revok for a short time and he leav the law for some peac of mind unbeknownst to him he will not be left in peac,,,,,,
38,38,the crowned clown,histor,tvN,the drama seri is a remak of the movi masquerad the stori take place at a time in joseon histori when upheav and power struggl surround the throne had reach extrem level in order to escap those who plan to assassin him the king put a clown who look exactli like him on the thronejoseon is in a state of disord due to upris and a power struggl surround king lee hun to avoid assassin a clown name ha sun is brought to the palac to take the place of king lee hun ha sun look almost ident to king lee hun when ha sun wa a child hi parent die dure an epidem ha sun almost die from starvat around that time but he wa save by a group of clown ha sun grew up with the clown and becam one of them dure their perform ha sun would play king lee hun due to their similar physic appear now ha sun is nervou that someon in the palac will find out he is not the real king he fall for beauti queen yoo so woon,2019,5.8,,107.0,,"Gwang Jang, Young-nam Jang, Hye-Young Jung, Sang-kyung Kim"
39,39,left-handed wife,melodrama romant,KBS2,lee soo ho kim jin woo and oh san ha lee soo kyung are deepli in love they have their wed and go on a honeymoon dure their honeymoon lee soo ho ha an accid and lose hi memori meanwhil oh san ha doe not know what happen to her husband and tri to find him lee soo ho and oh san ha are deepli in love they have their wed and go on a honeymoon dure their honeymoon soo ho ha an accid and lose hi memori meanwhil san ha doe not know what happen to her husband and tri to find him a conspiraci lurk beneath,2019,,,,,"Yeon-joo Ha, Tae-Hyun Jin, Nam-kil Kang, Byeong-ki Kim"
40,40,the best chicken,comedi romant,MBN &amp; DramaX,one day park choi go park sun ho decid to quit hi job at a big compani and open up hi own chicken restaur at what use to be a bathhous meanwhil seo bo ah kim so hye an aspir webtoon writer who seclud herself in the bathhous can t accept that the build she inherit from her grandfath is turn into a chicken restaur to take her inherit back she becom park choi go s employe along with andrew kang joo woo jae a onc promis chef who is now homeless can park choi go becom the ultim chicken master and achiev hi dream,,,,,,
41,41,"www.koreandrama.org/2018-kbs-drama-awards-winners-list/"" rel=""bookmark"" title=""permanent link to 2018 kbs drama awards ""> 2018 kbs drama awards ",nan,,,,,,,,
42,42,"www.koreandrama.org/2018-mbc-drama-awards-winners-list/"" rel=""bookmark"" title=""permanent link to 2018 mbc drama awards ""> 2018 mbc drama awards ",nan,,,,,,,,
43,43,my strange hero,comedi romant,SBS,when kang bok soo yoo seung ho wa a high school student he wa fals accus of commit act of violenc and end up expel from school those who brought the accus against him were hi first love son soo jung jo bo ah and a fellow student oh se ho kwak dong yunkang bok soo ha now becom an adult but in hi life noth seem to go right for him to get reveng on son soo jung and oh se ho he decid to return to the same high school there kang bok soo get involv in a seri of unexpect caseswhen kang bok soo wa a high school student he wa fals accus of commit violenc and kick out of school thi wa caus by hi first love son soo jung and a male student oh se ho kang bok soo is a now an adult but hi life ha not gone smoothli to get reveng on son soo jung and oh se ho he return to the same high school as a student the environ at the school ha chang and kang bok soo get involv in unexpect case,2018,5.6,,146.0,,"Joel Roberts, Ho-jin Chun, Hyo-Seob Eom, Bo-ah Jo"
44,44,dance sports girls,sport children,KBS2,thi drama is base on the awardwin documentari danc sport girl which air on kb in it tell the stori of girl in geoj girl vocat high school who dream of differ dream while prepar to get a job at the shipyard where the restructur ha recent begun although their grade are low their effort in tri to becom better dancer are not limitedeighteen girl passion about danc sport chase their dream in a town where most peopl their age are prepar for employ at the recent restructur shipyard,2017,,,,85,"Lee Seung-Moon, Lee Gyoo-ho"
45,45,bad detective,thriller crime,MBC,thi drama is remak of the bbc tv seri luther woo tae suk shin ha kyun is an experienc and wellestablish detect with a long profession career but in spite of everyth he is a lone and bitter human be it all ha to do with him onli focus on solv case while hi action are complet controversi becaus it cross the line between good and evil woo tae suk cross path with a femal psychopath eun sun jae lee seol but he cannot arrest her becaus of lack of evid the woman eventu decid to help woo tae suk solv other case,,,,,,
46,46,the sound of your heart: reboot ,comedi,Netflix,a sitcom with cheeki imagin unexpect turn of event and raucou laughterit look like we dont have ani plot summari for thi titl yet be the first to contribut just click the edit page button at the bottom of the page or learn more in the plot summari submiss guid,2018,5.3,,28.0,,"Sung Hoon, Yuri Kwon, Hye-jin Shim, Jin-mo Joo"
47,47,"coffee, please",romant fantasi,Channel A,thi drama is about a pretti overweight woman who after sip on a cup of magic coffe becom a beauti and a handsom man who doesn t believ in loveim hyun woo yong joon hyung is a webtoon writer he is popular and handsom but he is not nice to peopl and also doe not believ in love hi traine is lee seul bi kim min young she is cute and chubbi seul bi ha had a crush on hyun woo for a long time yet she ha never told hyun woo about her feel one day seul bi drink coffe and she suddenli find herself chang into a beauti woman she name herself oh go woon chae seo jinthi fantasi romanticcomedi that revolv around lee seul bi a chubbi girl who becom beauti after drink magic coffe and a handsom webtoon artist who doesnt believ in love until he meet lee seul bi,2018,5.3,,15.0,,"Seo-jin Chae, Gil Eun Hye, Min-yeong Kim, Tae-Ri Lee"
48,48,fates and furies,romant,SBS,thi drama is about a woman who decid to approach a man by tell him all sort of lie the man fall for the lie told by the woman and end up fall madli in love with her although the woman want to tell the truth she can not do it becaus if she doe she will lose the man she loveseven though goo hae ra lee min jung is smart and beauti she is in miser situat becaus of her famili her older sister attempt suicid and her father pass away the onli way she can escap her situat is with money she then approach tae in joon joo sang wook he is the second son of a shoe compani owner even though goo hae ra is smart and beauti she is in a miser situat becaus of her famili her older sister attempt suicid and her father pass away the onli way she can escap her situat is with money she approach tae in joon he is the second son of a shoe compani owner tae in joon fall in love with goo hae ra,2018,6.1,,24.0,,"Soo-Yeon Cha, Gyu-su Jeong, In-beom Ko, Jeong-hwan Kong"
